item
吐司
厚片吐司
奶油厚片
花生厚片
巧克力厚片
煉乳厚片
三明治
火腿三明治
蛋沙拉三明治
鮪魚三明治
起司三明治
蔬菜三明治
漢堡
薯餅漢堡
培根漢堡
起司漢堡
豬排漢堡
雞腿漢堡
燒肉蛋吐司
培根蛋吐司
火腿蛋吐司
起司蛋吐司
鮪魚蛋吐司
熱壓吐司
起司熱壓
巧克力熱壓
蛋餅
起司蛋餅
玉米蛋餅
火腿蛋餅
培根蛋餅
鮪魚蛋餅
燒肉蛋餅
蔬菜蛋餅
蔥抓餅
起司蔥抓餅
薯餅蔥抓餅
鮪魚抓餅
雞肉抓餅
捲餅
鮪魚捲餅
雞肉捲餅
燒肉捲餅
鐵板麵
黑胡椒鐵板麵
蘑菇鐵板麵
培根鐵板麵
照燒雞鐵板麵
炒麵
滷肉乾麵
湯麵
陽春麵
牛肉麵
飯糰
傳統飯糰
紫米飯糰
蛋飯糰
豬排飯糰
煎餃
水煎包
菜包
肉包
奶黃包
饅頭
饅頭夾蛋
饅頭夾肉
蘿蔔糕
炒蘿蔔糕
蘿蔔糕加蛋
燒餅
燒餅油條
油條
豆漿油條
小籠包
蛋包飯
燒肉飯
照燒雞飯
炒飯
鮪魚飯
荷包蛋
全熟蛋
半熟蛋
炒蛋
美式炒蛋
水煮蛋
薯餅
雞塊
雞米花
炸雞腿
炸雞排
熱狗
薯條
花枝丸
魚排
起司條
生菜沙拉
水果沙拉
蛋沙拉
馬鈴薯沙拉
紅茶
奶茶
鮮奶茶
烏龍茶
綠茶
檸檬紅茶
檸檬綠茶
豆漿
米漿
豆漿紅茶
米漿紅茶
豆漿奶茶
黑咖啡
美式
拿鐵
卡布奇諾
焦糖瑪奇朵
巧克力牛奶
鮮奶
柳橙汁
葡萄汁
芒果冰沙
巧克力冰沙
草莓冰沙
花生醬吐司
巧克力醬吐司
起司吐司
肉鬆蛋吐司
蛋沙拉吐司
